left_index,left_side,similarity,right_side,right_index
1255,account manager client servicing,0.8279957,senior manager client servicing,2338
3269,account manager recruitment,0.8612126,recruitment manager,518
3269,account manager recruitment,0.8537847,assistant manager recruitment,982
3269,account manager recruitment,0.8250009,senior manager recruitment,2202
6731,account office assistant,0.8241992,assistant account officer,6719
6692,account officer,0.8814432,sale account officer,6942
6692,account officer,0.87234294,senior account officer,6697
6692,account officer,0.84327555,junior account officer,6713
6692,account officer,0.83690464,key account officer,6746
6692,account officer,0.8341943,assistant account officer,6719
6692,account officer,0.81638336,deputy account officer,6947
6692,account officer,0.80412424,finance account officer,6714
6692,account officer,0.8011128,client account officer,6798
6717,account payable,0.9319832,manager account payable,1179
6717,account payable,0.8991194,account payable analyst,5930
6717,account payable,0.8763509,account payable agent,6971
6717,account payable,0.84028286,assistant manager account payable,925
6717,account payable,0.8327408,account payable associate,6705
6971,account payable agent,0.8763509,account payable,6717
6971,account payable agent,0.8343593,account payable analyst,5930
6971,account payable agent,0.8238646,manager account payable,1179
5930,account payable analyst,0.8991194,account payable,6717
5930,account payable analyst,0.84351027,manager account payable,1179
5930,account payable analyst,0.8343593,account payable agent,6971
6705,account payable associate,0.92596835,senior account payable associate,6917
6705,account payable associate,0.8327408,account payable,6717
6703,account payable executive,0.9336867,senior account payable executive,6762
6727,account process executive,0.91893,senior account process executive,6797
2625,account quality manager,0.803919,plant quality manager,2440
6733,account receivable,0.918743,account receivable analyst,5934
6733,account receivable,0.9178933,senior account receivable,6752
6733,account receivable,0.86892444,assistant manager account receivable,2589
6733,account receivable,0.8624096,account receivable associate,6708
6733,account receivable,0.8538549,senior account receivable analyst,6202
6733,account receivable,0.84943604,receivables specialist account receivables,6792
6733,account receivable,0.81888354,account receivable executive,6704
5934,account receivable analyst,0.92937297,senior account receivable analyst,6202
5934,account receivable analyst,0.918743,account receivable,6733
5934,account receivable analyst,0.88396513,receivable analyst,6207
5934,account receivable analyst,0.84330803,senior account receivable,6752
5934,account receivable analyst,0.82871073,account receivable associate,6708
5934,account receivable analyst,0.8024363,assistant manager account receivable,2589
6708,account receivable associate,0.8624096,account receivable,6733
6708,account receivable associate,0.82871073,account receivable analyst,5934
6704,account receivable executive,0.94266975,senior account receivable executive,6803
6704,account receivable executive,0.81888354,account receivable,6733
6732,account receivable specialist,0.8904792,receivables specialist account receivables,6792
1315,account relationship manager,0.82354003,relationship manager,280
1315,account relationship manager,0.8125182,assistant relationship manager,355
6842,account representative,0.8756401,key account representative,7011
6854,account support executive,0.8858706,key account support executive,6978
6930,account taxation,0.9215843,manager account taxation,1088
6930,account taxation,0.8197347,assistant manager account taxation,1428
6930,account taxation,0.808533,deputy manager account taxation,2143
6801,account trainer,0.87623805,accountant trainee,6720
6689,accountant,0.80152655,account analyst,5957
6819,accountant admin,0.83976734,manager account admin,2207
6819,accountant admin,0.81665546,accountant administration,6794
6794,accountant administration,0.89400935,manager account administration,1374
6794,accountant administration,0.86122453,account administrator,6775
6794,accountant administration,0.85801744,account administration assistant,6866
6794,accountant administration,0.8533157,assistant manager account administration,1713
6794,accountant administration,0.81665546,accountant admin,6819
6881,accountant audit,0.8525589,account auditor,6826
6881,accountant audit,0.8432995,account audit manager,2568
6881,accountant audit,0.80087477,account audit assistant,6747
6763,accountant audit assistant accountant computer operator,0.81816727,account assistant computer operator,6781
6701,accountant cashier,0.89699847,account assistant cashier,6711
6701,accountant cashier,0.82822365,senior assistant accountantcashier,6923
6939,accountant cum administration executive,0.8595095,account cum admin executive,6811
6967,accountant indirect tax,0.8032049,indirect taxation accounting,6979
6720,accountant trainee,0.87623805,account trainer,6801
6720,accountant trainee,0.85537905,account assistant trainee,6936
6720,accountant trainee,0.8184068,cost accountant trainee,6800
6402,accounting operation analyst,0.8544636,general accounting operation analyst,5962
6915,accounting process associate,0.8825907,general accounting process associate,6891
6722,accounting specialist,0.91051614,senior accounting specialist,6751
6722,accounting specialist,0.83492666,fund accounting specialist,6765
431,acquisition manager,0.8640292,account acquisition manager,3010
431,acquisition manager,0.85882205,assistant acquisition manager,438
431,acquisition manager,0.8429298,deputy acquisition manager,1593
431,acquisition manager,0.84271276,merger acquisition manager,1574
431,acquisition manager,0.8205867,branch acquisition manager,847
431,acquisition manager,0.80215865,business acquisition manager,3005
6052,actuarial analyst,0.89974296,senior actuarial analyst,6133
6052,actuarial analyst,0.82249963,actuarial manager,2788
2788,actuarial manager,0.82249963,actuarial analyst,6052
670,admin manager,0.8376217,sale admin manager,2813
2610,administration facility manager,0.93533516,manager administration facility,653
350,administration manager,0.8151758,finance administration manager,2630
860,admission manager,0.8611407,mission manager,1496
6267,aeronautical analyst,0.8276306,aeronautical engineer,4830
4830,aeronautical engineer,0.8276306,aeronautical analyst,6267
385,agency development manager,0.89445466,senior agency development manager,795
385,agency development manager,0.8289685,associate agency development manager,592
339,agency manager,0.80071014,senior agency manager,498
1465,alliance manager,0.80586016,finance alliance manager,1113
4919,analog layout design engineer,0.82590115,layout design engineer,5204
5872,analyst,0.8120543,l analyst,6329
6057,analyst ii,0.8098409,test analyst ii,6380
6535,analyst microbiology,0.81410724,manager microbiology,2518
6396,analyst sme,0.8466023,senior analyst sme,6533
6334,analytics advisory analyst,0.8318795,analytics advisory senior analyst,6481
6481,analytics advisory senior analyst,0.8318795,analytics advisory analyst,6334
6205,ap analyst,0.8663628,sap analyst,6174
6205,ap analyst,0.80940616,map analyst,6507
5987,application analyst,0.84817517,senior application analyst,6100
5784,application architect,0.8908458,senior application architect,5837
5884,application development analyst,0.8954087,application development manager,1410
5884,application development analyst,0.8787445,application development engineer,4103
5884,application development analyst,0.8486239,application development senior analyst,5894
4103,application development engineer,0.9046071,application development manager,1410
4103,application development engineer,0.8787445,application development analyst,5884
4103,application development engineer,0.8518156,senior engineer application development,3883
1410,application development manager,0.9046071,application development engineer,4103
1410,application development manager,0.8954087,application development analyst,5884
1410,application development manager,0.8170113,senior engineer application development,3883
1410,application development manager,0.80645883,associate manager application development,2449
1410,application development manager,0.8041679,application development senior analyst,5894
5894,application development senior analyst,0.8486239,application development analyst,5884
5894,application development senior analyst,0.8041679,application development manager,1410
3425,application engineer,0.8402679,senior application engineer,3599
3425,application engineer,0.8296463,sale application engineer,3912
3425,application engineer,0.8263247,manager application engineering,2178
3425,application engineer,0.8098696,junior application engineer,5733
6470,application management analyst,0.81478244,engineer application management,4753
6292,application packaging analyst,0.87360907,application packaging engineer,4475
4475,application packaging engineer,0.87360907,application packaging analyst,6292
4540,application production support engineer,0.8133304,application support engineer,3430
207,application software analyst,0.8287498,application software engineer,79
98,application software development consultant,0.8775801,application software development senior consultant,197
197,application software development senior consultant,0.8775801,application software development consultant,98
79,application software engineer,0.8287498,application software analyst,207
5963,application support analyst,0.89772993,senior application support analyst,6153
5963,application support analyst,0.824277,application support manager,2854
5963,application support analyst,0.82147354,application support engineer,3430
3430,application support engineer,0.8906603,senior application support engineer,3804
3430,application support engineer,0.85110277,application support manager,2854
3430,application support engineer,0.84272474,application support engineer associate,5402
3430,application support engineer,0.82147354,application support analyst,5963
3430,application support engineer,0.8133304,application production support engineer,4540
5402,application support engineer associate,0.84272474,application support engineer,3430
2854,application support manager,0.85110277,application support engineer,3430
2854,application support manager,0.824277,application support analyst,5963
6342,application tech support analyst,0.8739266,sw application tech support analyst,6279
5769,architect,0.8198509,architect engineer,4939
5769,architect,0.8023481,manager architect,1404
5769,architect,0.80130434,site architect,5862
4939,architect engineer,0.8198509,architect,5769
5788,architect interior designer,0.84148645,architectural interior designer,5871
5811,architectural designer,0.8434712,architectural designer project architect,5869
5869,architectural designer project architect,0.8434712,architectural designer,5811
5773,architectural draughtsman,0.9363136,senior architectural draughtsman,5818
5773,architectural draughtsman,0.8975302,civil architectural draughtsman,5827
5871,architectural interior designer,0.84148645,architect interior designer,5788
5819,architecturaldraftsman,0.8976164,sr dot architectural draftsman,5854
2234,area account manager,0.87056786,area accountant,6951
6951,area accountant,0.87056786,area account manager,2234
1508,area business development manager,0.8408224,business development manager,286
298,area business manager,0.90220493,area business manager sale,1566
298,area business manager,0.8699539,senior area business manager,646
1566,area business manager sale,0.90220493,area business manager,298
1819,area business unit manager,0.81756026,business unit manager,1364
1953,area channel manager,0.826691,channel manager,503
379,area collection manager,0.8108007,collection manager,318
1625,area customer care manager,0.84696746,customer care manager,445
1251,area debt manager,0.8375622,debt manager,553
710,area development manager,0.8327486,development manager,483
882,area legal manager,0.8216177,legal manager,394
1014,area loss prevention manager,0.89672756,loss prevention manager,783
2031,area manager bancassurance,0.8286617,sale manager bancassurance,781
2031,area manager bancassurance,0.8043783,assistant manager bancassurance,1628
3225,area manager milk procurement,0.85309607,assistant manager milk procurement,3198
854,area manager sale marketing,0.85664934,manager sale marketing,387
2477,area manager sale operation,0.8562129,manager sale operation,740
719,area marketing manager,0.8224926,marketing manager,315
1640,area recovery manager,0.8545014,recovery manager,775
1548,area relationship manager,0.84081393,relationship manager,280
774,area retail manager,0.82293236,retail manager,523
4930,area sale engineer,0.81334364,senior area sale engineer,5517
2014,area sale manager channel sale,0.83061093,channel sale manager,367
370,area service manager,0.83423805,area service manager sale service,2725
2725,area service manager sale service,0.83423805,area service manager,370
2725,area service manager sale service,0.83326644,sale service manager,1107
401,area territory manager,0.8466968,territory manager,291
4414,asic design verification engineer,0.82974386,design verification engineer,5617
5301,asic physical design engineer,0.8400849,physical design engineer,3721
1777,asistant manager fire safety,0.86496186,manager fire safety,1813
182,asp dot net software developer,0.83986646,dot net software developer,54
6054,asset management analyst,0.8129134,software asset management analyst,146
2378,assi manager,0.9204827,si manager,2021
7006,assisstant accountant,0.83121777,assistant accountant manager,3235
3328,assisstant manager hospitality,0.8652747,manager hospitality,3195
463,assistant account manager,0.95341694,assistant accountant manager,3235
6719,assistant account officer,0.8517469,cost accountant officer,6911
6719,assistant account officer,0.8341943,account officer,6692
6719,assistant account officer,0.8241992,account office assistant,6731
3235,assistant accountant manager,0.95341694,assistant account manager,463
3235,assistant accountant manager,0.83121777,assisstant accountant,7006
3235,assistant accountant manager,0.82507145,senior assistant accountant,6739
438,assistant acquisition manager,0.85882205,acquisition manager,431
438,assistant acquisition manager,0.8456779,account acquisition manager,3010
438,assistant acquisition manager,0.8154098,assistant manager talent acquisition,738
1527,assistant banquet manager,0.8057148,banquet manager,818
1438,assistant branch credit manager,0.82763237,branch credit manager,331
2257,assistant branch manager business development,0.875554,branch manager business development,2884
2709,assistant branch service manager,0.80133086,branch service manager,509
3673,assistant bridge engineer,0.8036023,bridge engineer,3644
2000,assistant call center manager,0.8046936,call center manager,1408
6882,assistant chartered accountant,0.9155207,chartered accountantchartered accountant,6883
6882,assistant chartered accountant,0.8536678,chartered accountant,6709
6945,assistant chief accountant,0.82612115,chief accountant,6750
3317,assistant cluster development manager,0.842895,cluster development manager,1944
944,assistant concept manager,0.819175,concept manager,922
5020,assistant construction engineer,0.8550931,assistant construction manager,434
434,assistant construction manager,0.8550931,assistant construction engineer,5020
434,assistant construction manager,0.8158964,assistant construction manager electrical,2632
2632,assistant construction manager electrical,0.8158964,assistant construction manager,434
5031,assistant consultant engineer,0.8210705,consultant engineer,3692
6912,assistant cost accountant,0.8272503,cost accountant,6723
964,assistant customer relationship manager,0.8633362,customer relationship manager,321
1695,assistant delivery manager,0.80927634,account delivery manager,1285
1237,assistant district manager,0.8031976,assistant district sale manager,1939
1939,assistant district sale manager,0.8180093,district sale manager,406
1939,assistant district sale manager,0.8031976,assistant district manager,1237
5192,assistant divisional engineer,0.87093616,assistant divisional manager,1203
1203,assistant divisional manager,0.87093616,assistant divisional engineer,5192
3273,assistant ecommerce manager,0.83956426,e commerce manager,914
4988,assistant electronics engineer,0.8430809,electronics engineer,3474
3373,assistant engineer,0.9061549,assistant engineer r,5184
3373,assistant engineer,0.9015703,assistant engineer q,4404
3373,assistant engineer,0.8187328,assistant engineer ii,4788
3437,assistant engineer civil,0.82274497,assistant manager civil,458
3437,assistant engineer civil,0.81385833,assistant engineer civil civ,4543
4543,assistant engineer civil civ,0.81385833,assistant engineer civil,3437
4798,assistant engineer customer support,0.90594953,assistant manager customer support,992
4798,assistant engineer customer support,0.8872498,engineer customer support,3394
4917,assistant engineer electrical instrumentation,0.9283462,assistant manager electrical instrumentation,1369
4917,assistant engineer electrical instrumentation,0.8807843,manager electrical instrumentation,1818
4917,assistant engineer electrical instrumentation,0.84920084,electrical instrumentation engineer,3619
4917,assistant engineer electrical instrumentation,0.84300727,project engineer electrical instrumentation,4868
4917,assistant engineer electrical instrumentation,0.83737516,electrical instrument engineer,4249
4917,assistant engineer electrical instrumentation,0.82349926,senior electrical instrumentation engineer,4369
4917,assistant engineer electrical instrumentation,0.8218266,senior manager electrical instrumentation,2186
4788,assistant engineer ii,0.8187328,assistant engineer,3373
3887,assistant engineer instrumentation,0.89323354,assistant manager instrumentation,773
3887,assistant engineer instrumentation,0.81737506,manager instrumentation,711
3887,assistant engineer instrumentation,0.8111688,assistant instrument engineer,5470
3477,assistant engineer mechanical,0.86540496,assistant manager mechanical,568
4394,assistant engineer operation,0.8369702,assistant manager operation,293
5553,assistant engineer plant maintenance,0.90953577,assistant manager plant maintenance,2620
5553,assistant engineer plant maintenance,0.8493889,manager plant maintenance,1810
5553,assistant engineer plant maintenance,0.80519146,assistant maintenance engineer,3685
4253,assistant engineer process,0.83502007,assistant manager process,1128
5375,assistant engineer product development,0.90894395,assistant manager product development,1312
5375,assistant engineer product development,0.8752441,product development engineer,3603
5375,assistant engineer product development,0.8107565,senior engineer product development,3713
3451,assistant engineer production,0.84523886,assistant manager production,336
4209,assistant engineer purchase,0.8768532,assistant manager purchase,376
4404,assistant engineer q,0.9015703,assistant engineer,3373
4404,assistant engineer q,0.8169624,assistant engineer r,5184
4611,assistant engineer qa qc,0.84179294,assistant manager qa qc,635
3857,assistant engineer quality assurance,0.91224164,assistant manager quality assurance,400
3857,assistant engineer quality assurance,0.8516199,manager quality assurance,432
5184,assistant engineer r,0.9061549,assistant engineer,3373
5184,assistant engineer r,0.8169624,assistant engineer q,4404
4551,assistant engineer safety,0.8629818,assistant manager safety,536
4980,assistant environmental engineer,0.9069035,environmental engineer,3647
4980,assistant environmental engineer,0.83744216,senior environmental engineer,4296
4980,assistant environmental engineer,0.8062582,assistant manager environment,1245
3532,assistant executive engineer,0.80272555,executive engineer,3401
1412,assistant financial service manager,0.8290154,financial service manager,643
951,assistant food beverage manager,0.8605466,food beverage manager,615
694,assistant front office manager,0.8000966,front office manager,510
307,assistant general manager,0.90068436,assistant general manager hr,707
307,assistant general manager,0.8971276,assistant general manager qa,2129
307,assistant general manager,0.88865286,assistant general manager sale,621
307,assistant general manager,0.8693135,assistant general manager mep,2404
307,assistant general manager,0.8628926,assistant general manager account,1764
307,assistant general manager,0.83663976,assistant general manager project,1299
307,assistant general manager,0.8225549,assistant general manager operation,596
307,assistant general manager,0.81888634,assistant general manager design,3274
307,assistant general manager,0.8053779,assistant general manager quality,2398
307,assistant general manager,0.8042786,assistant general manager finance,1002
1764,assistant general manager account,0.8628926,assistant general manager,307
1764,assistant general manager account,0.8019606,general manager account,1927
1755,assistant general manager business development,0.88407874,general manager business development,984
1755,assistant general manager business development,0.82469827,assistant manager business development,681
3274,assistant general manager design,0.81888634,assistant general manager,307
3274,assistant general manager design,0.8057604,general manager design,2947
2038,assistant general manager electrical,0.8284293,general manager electrical,2009
1002,assistant general manager finance,0.8830514,assistant general manager finance account,932
1002,assistant general manager finance,0.8134199,general manager finance,802
1002,assistant general manager finance,0.8042786,assistant general manager,307
932,assistant general manager finance account,0.8830514,assistant general manager finance,1002
932,assistant general manager finance account,0.85799944,general manager finance account,776
707,assistant general manager hr,0.90068436,assistant general manager,307
707,assistant general manager hr,0.80802876,assistant general manager qa,2129
707,assistant general manager hr,0.80039567,assistant general manager sale,621
1535,assistant general manager legal,0.832244,general manager legal,1265
3288,assistant general manager logistics,0.86517256,general manager logistics,1572
878,assistant general manager marketing,0.85754,assistant general manager sale marketing,821
1517,assistant general manager material,0.8174422,general manager material,1382
2404,assistant general manager mep,0.8693135,assistant general manager,307
596,assistant general manager operation,0.8225549,assistant general manager,307
596,assistant general manager operation,0.8220252,general manager operation,395
926,assistant general manager production,0.81706107,general manager production,1001
2819,assistant general manager program management,0.8070742,assistant manager program management,1747
1299,assistant general manager project,0.83663976,assistant general manager,307
1028,assistant general manager purchase,0.8447201,general manager purchase,1425
2129,assistant general manager qa,0.8971276,assistant general manager,307
2129,assistant general manager qa,0.80802876,assistant general manager hr,707
2398,assistant general manager quality,0.8307959,assistant general manager quality assurance,2197
2398,assistant general manager quality,0.8128506,general manager quality,1925
2398,assistant general manager quality,0.8053779,assistant general manager,307
2197,assistant general manager quality assurance,0.88046336,general manager quality assurance,1363
2197,assistant general manager quality assurance,0.8307959,assistant general manager quality,2398
2197,assistant general manager quality assurance,0.8188384,assistant manager quality assurance,400
1365,assistant general manager retired,0.8057745,assistant general managerretired april,3165
621,assistant general manager sale,0.88865286,assistant general manager,307
621,assistant general manager sale,0.81768095,assistant general manager sale marketing,821
621,assistant general manager sale,0.80039567,assistant general manager hr,707
821,assistant general manager sale marketing,0.85754,assistant general manager marketing,878
821,assistant general manager sale marketing,0.8507796,general manager sale marketing,762
821,assistant general manager sale marketing,0.81768095,assistant general manager sale,621
3341,assistant general manager technical,0.8170324,general manager technical,1163
3165,assistant general managerretired april,0.8057745,assistant general manager retired,1365
5653,assistant hardware design engineer,0.805974,hardware design engineer,3616
4533,assistant highway design engineer,0.8617451,highway design engineer,3988
4533,assistant highway design engineer,0.8151551,sr dot highway design engineer,4896
3610,assistant highway engineer,0.81467295,highway engineer,3467
4739,assistant highway maintenance engineer,0.8687618,highway maintenance engineer,4711
4853,assistant industrial engineer,0.8481239,industrial engineer,3459
5470,assistant instrument engineer,0.8176714,instrument engineer,3411
5470,assistant instrument engineer,0.8111688,assistant engineer instrumentation,3887
3685,assistant maintenance engineer,0.83457977,maintenance engineer,3383
3685,assistant maintenance engineer,0.82691103,plant maintenance engineer,3837
3685,assistant maintenance engineer,0.82380843,assistant manager maintenance,380
3685,assistant maintenance engineer,0.80519146,assistant engineer plant maintenance,5553
277,assistant manager,0.8976283,assistant manager r,577
277,assistant manager,0.8926997,assistant manager q,1512
277,assistant manager,0.8919278,assistant manager f,1845
277,assistant manager,0.8582224,st assistant manager,1469
277,assistant manager,0.8047009,assistant manager ii,663
1713,assistant manager account administration,0.90693915,manager account administration,1374
1713,assistant manager account administration,0.86128265,account administration assistant,6866
1713,assistant manager account administration,0.8533157,accountant administration,6794
1713,assistant manager account administration,0.8070796,assistant manager administration,789
2227,assistant manager account commercial,0.89249957,manager account commercial,1189
925,assistant manager account payable,0.9016073,manager account payable,1179
925,assistant manager account payable,0.84028286,account payable,6717
2589,assistant manager account receivable,0.86892444,account receivable,6733
2589,assistant manager account receivable,0.84387004,senior account receivable,6752
2589,assistant manager account receivable,0.8024363,account receivable analyst,5934
1428,assistant manager account taxation,0.8894842,manager account taxation,1088
1428,assistant manager account taxation,0.8197347,account taxation,6930
2106,assistant manager ad sale,0.81610525,manager ad sale,1979
789,assistant manager administration,0.90506434,assistant manager administrator,422
789,assistant manager administration,0.865142,assistant manager hr administration,588
789,assistant manager administration,0.8070796,assistant manager account administration,1713
422,assistant manager administrator,0.90506434,assistant manager administration,789
422,assistant manager administrator,0.89242524,office administrator assistant manager administrator,2424
1628,assistant manager bancassurance,0.8343299,sale manager bancassurance,781
1628,assistant manager bancassurance,0.8043783,area manager bancassurance,2031
2195,assistant manager band ii,0.8560778,manager band ii,2458
1376,assistant manager banking,0.8430921,manager banking,2187
1376,assistant manager banking,0.8087552,assistant manager banking operation,1079
1079,assistant manager banking operation,0.8087552,assistant manager banking,1376
1079,assistant manager banking operation,0.800785,deputy manager banking operation,1783
2487,assistant manager banquet sale,0.8064336,banquet sale manager,2047
1386,assistant manager business analyst,0.86593455,manager business analyst,1132
681,assistant manager business development,0.86071074,account manager business development,1493
681,assistant manager business development,0.85480547,business development manager,286
681,assistant manager business development,0.82469827,assistant general manager business development,1755
681,assistant manager business development,0.81947625,senior business development manager,337
681,assistant manager business development,0.8017599,deputy manager business development,708
2356,assistant manager business excellence,0.92487174,manager business excellence,1167
458,assistant manager civil,0.82274497,assistant engineer civil,3437
1957,assistant manager client acquisition,0.9175715,manager client acquisition,1019
1086,assistant manager client servicing,0.8976435,manager client servicing,742
1086,assistant manager client servicing,0.85623485,account manager client servicing,1255
1086,assistant manager client servicing,0.823346,senior manager client servicing,2338
1120,assistant manager contract,0.8200695,manager contract,667
2508,assistant manager control instrumentation,0.8151932,control instrumentation engineer,3635
1693,assistant manager corporate communication,0.8551514,senior manager corporate communication,2569
1693,assistant manager corporate communication,0.8414676,corporate communication manager,1003
1693,assistant manager corporate communication,0.83132136,deputy manager corporate communication,2822
1663,assistant manager corporate finance,0.8981285,manager corporate finance,1381
1663,assistant manager corporate finance,0.8241544,senior manager corporate finance,1888
1516,assistant manager corporate hr,0.8794545,manager corporate hr,1554
881,assistant manager corporate sale,0.8696348,manager corporate sale,1104
1044,assistant manager costing,0.81415075,manager costing,1030
1814,assistant manager cqa,0.8149627,manager cqa,1976
1033,assistant manager credit control,0.8966252,manager credit control,582
1033,assistant manager credit control,0.82164943,senior manager credit control,2340
3220,assistant manager customer delight,0.8079484,customer delight manager,2657
624,assistant manager customer service,0.80569273,senior manager customer service,1116
992,assistant manager customer support,0.90594953,assistant engineer customer support,4798
992,assistant manager customer support,0.8421619,engineer customer support,3394
1118,assistant manager design development,0.9002211,manager design development,1165
1041,assistant manager digital marketing,0.84495836,senior manager digital marketing,2087
442,assistant manager electrical,0.825865,manager electrical,527
1369,assistant manager electrical instrumentation,0.9283462,assistant engineer electrical instrumentation,4917
1369,assistant manager electrical instrumentation,0.916719,manager electrical instrumentation,1818
1369,assistant manager electrical instrumentation,0.85535586,senior manager electrical instrumentation,2186
1369,assistant manager electrical instrumentation,0.8154306,electrical instrumentation engineer,3619
1015,assistant manager electrical maintenance,0.8982612,manager electrical maintenance,1078
1245,assistant manager environment,0.90086085,manager environment,816
1245,assistant manager environment,0.8062582,assistant environmental engineer,4980
1245,assistant manager environment,0.80152225,deputy manager environment,2394
3358,assistant manager excise,0.8656809,manager excise,1804
2170,assistant manager execution,0.81593686,manager execution,1241
1845,assistant manager f,0.8919278,assistant manager,277
1845,assistant manager f,0.8006196,assistant manager r,577
354,assistant manager finance,0.82552874,assistant manager finance account,392
354,assistant manager finance,0.80044997,manager finance,3264
392,assistant manager finance account,0.82552874,assistant manager finance,354
1050,assistant manager finance operation,0.8857802,manager finance operation,1111
2489,assistant manager financial planning analysis,0.9296077,manager financial planning analysis,1025
2573,assistant manager fpa,0.8129426,manager fpa,2441
1520,assistant manager geology,0.87595737,manager geology,1361
3023,assistant manager grade ii,0.8391717,engineer grade ii,4795
2455,assistant manager health safety,0.91859126,manager health safety,1861
1455,assistant manager horticulture,0.9198113,manager horticulture,1160
586,assistant manager housekeeping,0.8277085,housekeeping manager,580
314,assistant manager hr,0.83300287,assistant manager hrd,1183
720,assistant manager hr admin,0.8475182,manager hr admin,496
720,assistant manager hr admin,0.84492683,assistant manager hr administration,588
588,assistant manager hr administration,0.9008215,manager hr administration,1136
588,assistant manager hr administration,0.865142,assistant manager administration,789
588,assistant manager hr administration,0.84492683,assistant manager hr admin,720
588,assistant manager hr administration,0.8249389,senior manager hr administration,787
2311,assistant manager hr payroll,0.8240899,assistant manager payroll,1218
1343,assistant manager hrbp,0.83817804,manager hrbp,1281
1183,assistant manager hrd,0.83300287,assistant manager hr,314
2191,assistant manager hvac,0.8256856,manager hvac,2024
663,assistant manager ii,0.8047009,assistant manager,277
1105,assistant manager indirect taxation,0.91500235,manager indirect taxation,770
1105,assistant manager indirect taxation,0.8524571,senior manager indirect taxation,1748
1105,assistant manager indirect taxation,0.82827085,deputy manager indirect taxation,1921
1727,assistant manager industrial engineering,0.9098264,manager industrial engineering,1358
1796,assistant manager information security,0.8511525,senior manager information security,2763
1796,assistant manager information security,0.83785754,information security manager,945
418,assistant manager information technology,0.88337654,engineer information technology,4779
418,assistant manager information technology,0.8654365,senior manager information technology,543
418,assistant manager information technology,0.8329497,deputy manager information technology,570
3142,assistant manager infrastructure,0.81953025,senior manager infrastructure,1378
3142,assistant manager infrastructure,0.8110888,infrastructure manager,706
3142,assistant manager infrastructure,0.8038756,project manager infrastructure,1236
773,assistant manager instrumentation,0.89323354,assistant engineer instrumentation,3887
773,assistant manager instrumentation,0.87231475,manager instrumentation,711
773,assistant manager instrumentation,0.81314087,asstmanager instrumentation,2964
641,assistant manager internal audit,0.88859916,manager internal audit,657
641,assistant manager internal audit,0.8083224,senior manager internal audit,993
1757,assistant manager international business,0.90636235,manager international business,1215
1757,assistant manager international business,0.8472788,sale manager international business,2855
1757,assistant manager international business,0.8379227,senior manager international business,1310
1757,assistant manager international business,0.80277634,general manager international business,1675
1214,assistant manager international marketing,0.82456434,international marketing manager,756
929,assistant manager key account,0.80918306,sale manager key account manager,2295
1007,assistant manager learning development,0.9194169,manager learning development,599
1007,assistant manager learning development,0.85991794,senior manager learning development,965
1007,assistant manager learning development,0.8367257,deputy manager learning development,2246
2444,assistant manager legal secretarial,0.9260651,manager legal secretarial,2738
2141,assistant manager loss prevention,0.8043629,loss prevention manager,783
380,assistant manager maintenance,0.82380843,assistant maintenance engineer,3685
380,assistant manager maintenance,0.80047,assistant manager plant maintenance,2620
303,assistant manager manager technical,0.9265179,assistant manager technical,562
822,assistant manager manufacturing,0.91340756,assistant manager manufacturing engineering,1986
